request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_194,45781.81,not_affordable,not_recommended,none,2025-10-24,none,"Do not make this payment by 23 October 2025. The full INR 132,800 is not safe until 24 October 2025, which is after the requested deadline."
request_195,844.54,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by 11 March 2026. The full EUR 1,170.40 is not safe until 16 March 2026, which is after the requested deadline."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025. This leaves at least IDR 26,245,900 available."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,10795671.41,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,717,000 request. Although IDR 10,795,671.41 is available today, the full amount cannot be completed safely within 90 days."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,391.14,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,442.10 request. Although EUR 391.14 is available today, the full amount cannot be completed safely within 90 days."
request_204,375.33,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by 31 January 2026. The full EUR 588.74 is not safe until 16 March 2026, which is after the requested deadline."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4046.55,affordable_later,wait,2026-07-16:11830,2026-07-16,none,"Wait until 16 July 2026, then pay ZAR 11,830 in full. Paying sooner would put the ZAR 13,600 minimum at risk."
request_208,3545579.51,affordable_later,wait,2024-06-16:4413000,2024-06-16,none,"Wait until 16 June 2024, then pay IDR 4,413,000 in full. Paying sooner would put the IDR 10,470,700 minimum at risk."
request_209,8.05,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 8.05 is available today, the full amount cannot be completed safely within 90 days."
request_210,705.92,affordable_with_plan,partial_payment,2026-04-06:705.92|2026-04-16:654.1,2026-04-16,none,"Pay USD 705.92 today and the remaining USD 654.10 on 16 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,116.61,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,788.60 request. Although EUR 116.61 is available today, the full amount cannot be completed safely within 90 days."
request_212,3744360.78,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 3,744,360.78 is available today, the full amount cannot be completed safely within 90 days."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 21 January 2026. This leaves at least USD 2,100 available."
request_214,7164.02,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 28 January 2025. The full INR 69,750 is not safe until 16 February 2025, which is after the requested deadline."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,214.79,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. The full USD 3,332.40 is not safe until 16 September 2026, which is after the requested deadline."
request_217,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 May 2024. None of the available options keeps the ZAR 26,800 minimum protected."
request_218,23834784.34,not_affordable,not_recommended,none,2025-09-16,none,"The full IDR 61,142,000 is safe to pay by 16 September 2025, but none of the available payment methods you consider keeps your IDR 34,477,200 minimum balance protected throughout the period."
request_219,537.36,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 13 June 2026. The full EUR 1,673.10 is not safe until 16 June 2026, which is after the requested deadline."
request_220,156.48,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 156.48 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040, starting 4 February 2025. This leaves at least IDR 22,187,600 available."
request_225,11028288.73,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-16,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This keeps the INR 209,400 minimum available over the next 90 days."
request_227,3402.13,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 3,402.13 is available today, the full amount cannot be completed safely within 90 days."
request_228,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,493.34,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-16,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,18906.83,not_affordable,not_recommended,none,2026-03-16,none,"The full ZAR 35,706 is safe to pay by 16 March 2026, but none of the available payment methods you consider keeps your ZAR 24,300 minimum balance protected throughout the period."
request_232,808.99,affordable_later,wait,2024-07-16:1970.1,2024-07-16,none,"Wait until 16 July 2024, then pay EUR 1,970.10 in full. Paying sooner would put the EUR 2,400 minimum at risk."
request_233,3743284.61,affordable_with_plan,partial_payment,2025-11-07:3743284.61|2025-11-16:2497715.39,2025-11-16,none,"Pay IDR 3,743,284.61 today and the remaining IDR 2,497,715.39 on 16 November 2025. This completes the full request and keeps the IDR 10,365,700 minimum protected."
request_234,138.29,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. The full EUR 1,213.30 is not safe until 16 September 2026, which is after the requested deadline."
request_235,856.72,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 25 October 2024. The full USD 967.20 is not safe until 16 November 2024, which is after the requested deadline."
request_236,6022051.82,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 6,022,051.82 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This keeps the IDR 22,431,500 minimum available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,172.81,not_affordable,not_recommended,none,2025-07-16,none,"Do not make this payment by 24 May 2025. The full USD 642 is not safe until 16 July 2025, which is after the requested deadline."
request_240,18578.76,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200 request. Although INR 18,578.76 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,46.86,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. Although EUR 46.86 is available today, the full amount cannot be completed safely within 90 days."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,951.65,affordable_with_plan,partial_payment,2025-02-07:951.65|2025-04-25:1013.95,2025-04-25,none,"Pay USD 951.65 today and the remaining USD 1,013.95 on 25 April 2025. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,194.07,affordable_later,wait,2026-02-16:643.2,2026-02-16,none,"Wait until 16 February 2026, then pay USD 643.20 in full. Paying sooner would put the USD 600 minimum at risk."
request_250,17404.9,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 17,404.90 is available today, the full amount cannot be completed safely within 90 days."
request_251,338.87,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 338.87 is available today, the full amount cannot be completed safely within 90 days."
request_252,4291448.47,affordable_later,wait,2026-08-16:28082000,2026-08-16,none,"Wait until 16 August 2026, then pay IDR 28,082,000 in full. Paying sooner would put the IDR 15,152,200 minimum at risk."
request_253,573.18,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,840.20 request. Although EUR 573.18 is available today, the full amount cannot be completed safely within 90 days."
request_254,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the USD 2,500 minimum protected."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,165656.28,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-16,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the USD 1,600 minimum protected."
request_258,984.13,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,113.60 request. Although USD 984.13 is available today, the full amount cannot be completed safely within 90 days."
request_259,105.87,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. The full EUR 935 is not safe until 16 November 2024, which is after the requested deadline."
request_260,8529475.29,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 8,529,475.29 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,26798.22,affordable_later,wait,2026-05-16:111300,2026-05-16,none,"Wait until 16 May 2026, then pay INR 111,300 in full. Paying sooner would put the INR 59,500 minimum at risk."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 189,700 available over the next 90 days."
request_266,637.82,not_affordable,not_recommended,none,2025-10-16,none,"Do not make this payment by 3 October 2025. The full EUR 935 is not safe until 16 October 2025, which is after the requested deadline."
request_267,340.99,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,925 request. Although EUR 340.99 is available today, the full amount cannot be completed safely within 90 days."
request_268,1017.2,not_affordable,not_recommended,none,2024-08-16,none,"Do not make this payment by 15 August 2024. The full EUR 2,426.60 is not safe until 16 August 2024, which is after the requested deadline."
request_269,2818.98,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 2 January 2026. The full ZAR 15,490 is not safe until 16 January 2026, which is after the requested deadline."
request_270,129.47,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 129.47 is available today, the full amount cannot be completed safely within 90 days."
request_271,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 April 2025. None of the available options keeps the IDR 7,508,600 minimum protected."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-16:5104485.22,2026-04-16,none,"Pay IDR 10,756,514.78 today and the remaining IDR 5,104,485.22 on 16 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15118698.19,affordable_later,wait,2025-05-16:15884000,2025-05-16,none,"Wait until 16 May 2025, then pay IDR 15,884,000 in full. Paying sooner would put the IDR 12,760,100 minimum at risk."
